,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Employment Specialist,Randolph boston/cambridge/brookline ,Sep 17,https://boston.craigslist.org/gbs/npo/d/randolph-employment-specialist/7381526627.html,"
compensation: $16/hr

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Want to make a difference in someone’s life?

At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence. We provide services to adults with Intellectual/Developmental Disabilities in our programs that include day habilitation, employment training, transportation, transition services and community integration.

$2,000 Sign-On Bonus

Schedule: Mon-Fri (8:00am- 4:30pm)

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Assist individuals served identify employment opportunities that meet their interests and abilities.
Develop and provide in-house and community based work preparedness trainings for individuals served.
Provide 1:1 job coaching supports and maintain regular contact with various employer sites as needed and identified in individuals’ support plans.
Participate as a member of the interdisciplinary team, representing the interest and needs of the individuals served.
Coordinate with supervisor and other team members in identifying potential job sites for supported employment.
Participate in the ongoing assessment, modification, and development of career goals.
Provide safe transportation to and from program using agency vehicle to support individuals served.
Assist individuals in maintaining quality job performance, consistent with employer expectations and to resolve conflicts effectively and efficiently.
Perform other related work duties as assigned by supervisor.

Qualifications:

High School Diploma or GED.
At least two years of experience working with individuals with Intellectual/ Developmental Disabilities.
Associates/Bachelor’s degree in human services or related field preferred.
Ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to lift 30 pounds as needed.
Ability to read and write clear, concise and accurate reports.
Valid driver’s license and acceptable driving record are required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check (CORI) and National Fingerprint Background Check.


For more information and to apply,  please visit https://grow-associates.org/jobs-listing/employment-specialist/

"
2,Direct Support Professional (DSP)-Day Hab,Randolph south shore ,Sep 17,https://boston.craigslist.org/sob/npo/d/randolph-direct-support-professional/7381526445.html,"
compensation: $15 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire Direct Support Professionals looking for a fulfilling career to join us and be part of a dynamic team making a difference in the lives of people served.  At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday – Friday 8am- 4pm

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Advocate and protect the rights and interests of people served.
Assist with activities of daily living (toileting, bathing, nutritional needs, etc.)
Ensure and promote ongoing health and safety.
Participate in developing and implementing support plans based on each person’s needs and goals.
Provide opportunities for learning and development of new skills.
Participate in various structured group/individual activities and offer meaningful choices to people served.
Attend all required trainings and meetings.
Perform other duties as assigned.

Qualifications:

High School Diploma or GED.
Experience working with individuals with disabilities/or willingness to learn.
Ability to work both independently and collaboratively within a culturally diverse population of individuals, co-workers, family members and community members.
Ability to read and write clear, concise and accurate daily reports and documentation.
Ability to lift up to 50 pounds as needed.
Valid driver’s license and acceptable driving record are required.
Pass criminal background check (CORI) and National Fingerprint Background Check.

For more information and to apply, please visit  https://grow-associates.org

"
3,Case Manager-CBDS/VOC,Randolph south shore ,Sep 17,https://boston.craigslist.org/sob/npo/d/randolph-case-manager-cbds-voc/7381525876.html,"
compensation: $16 Per Hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire a Case Manager to be part of our dynamic team making a difference in the lives of people served.  At GROW, we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday –Friday 8am-4.30pm

 Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
BJ’s Wholesale Club Membership.
Professional Development and Education Assistance.
Free on-site parking.

Responsibilities:

Train and assist staff to support people served work towards achieving their identified goals.
Provide case management and skills training support to people served in areas such as self-care, self-preservation, advocacy, communication, decision-making, and activities of daily living.
Audit case records for assigned caseload on a regular basis to ensure compliance with DDS and agency standards.
Participate in developing, implementing and monitoring treatment plans, completing all necessary programmatic documentation and reporting significant concerns to program management in a timely manner.
Assist with running  group activities on site and in the community as needed.
Act as an advocate for the people we serve.
Develop and maintain positive relationships with guardians, family members and other service providers.
Perform other related work duties as assigned.

Qualifications:

Bachelor’s Degree in Human Services or related field preferred.
Direct Care experience working with individuals with Intellectual/Developmental Disabilities and at least one year of case management experience.
Excellent organizational, communication, and writing skills.
Demonstrated ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to write clear, concise and accurate documentation.
Ability to lift 30 pounds as needed.
Valid driver’s license and acceptable driving record is required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check(CORI) and National Fingerprint Background Check.

For more information and to apply, please visit https://grow-associates.org/jobs-listing/case-manager-cbds-voc/
"
4,Director of Community Based Day Services(CBDS),Randolph south shore ,Sep 17,https://boston.craigslist.org/sob/npo/d/randolph-director-of-community-based/7381525466.html,"
compensation: TBD

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire a Program Director for the Community Based Day Program to be part of our dynamic team making a difference in the lives of people served. At GROW, we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

Schedule: Mon-Fri

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
BJ’s Wholesale Club Membership.
Professional Development and Education Assistance.
Free on-site parking.

Responsibilities:

Oversee the clinical, financial and administrative operations of the program
Ensure that services are maintained according to DDS, agency and all applicable regulatory standards.
Develop socially enriching programs within the community that provides opportunities for people served and group involvement.
Oversee the implementation of positive behavior supports, ISP objectives and treatment plans.
Provide leadership and coaching to program staff.
Facilitate communication between stakeholders including parents, guardians, and other providers both within and outside of the agency, and funding sources.
Evaluate staff performance at least annually and provide on-going supervision to program staff.
Attend and participate in scheduled meetings and trainings as required.
Provide oversight in data collection and outcome reporting from agency Electronic Healthcare Record (EHR) system.
Complete and maintain accurate and current programmatic documentation as required.

Qualifications:

Bachelor’s Degree in Human Services or related field required and a minimum of 4 years’ experience working in Human Services with progressive responsibilities in program administration and supervision.
Excellent organizational, communication, and writing skills.
Demonstrated ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to lift 30 pounds as needed.
Valid driver’s license and acceptable driving record is required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check (CORI) and National Fingerprint Background Check.


For more information and to apply, please visit https://grow-associates.org/jobs-listing/director-of-community-based-day-servicescbds-2/ "
5,Fight the Climate Crisis! Outreach Staff Needed-  $21-$27/hr,Boston boston/cambridge/brookline ,Sep 16,https://boston.craigslist.org/gbs/npo/d/boston-fight-the-climate-crisis/7381257308.html,"
compensation: $21-27/hr

employment type: employee's choice

","

QR Code Link to This Post


Help Us Build Support for the Nation’s Leading Environmental Group! 
Greenpeace is bringing people together to protect the environment. If you want to stop plastic pollution, protect forests, expand renewable energy, or promote environmental justice, join us!  We are building support and fundraising on behalf of Greenpeace to ensure they have the resources to save our planet for future generations.

Get paid well! Staff should expect to earn $21-27/hour.  We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Stay Safe!  We have strict health and safety protocols that include a contactless approach to campaign work. We provide all of the training and Personal Protective Equipment (PPE) you will need. 

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

Location: Boston, MA

We are hiring immediately, all positions are year-round with possibilities for advancement. Shifts run from 2:30pm - 10:00pm Monday-Friday with the possibility to work part-time or full-time.

Canvasser Responsibilities:
- Engage with the public in a friendly and professional manner
- Deliver a compelling campaign story, sign up members and generate donations for Greenpeace
- Participate in staff trainings to improve your outreach skills
- Strictly follow our health and safety protocols

The ideal candidate:
-Passionate about environmental issues and combating the climate crisis
-Strong communication skills; you should enjoy working with other people and be willing and excited to speak with everyone
-Hard worker who will stay motivated to engage as many people as possible
-Open to new challenges and are interested in building their campaign skills
-Culturally competent and able to respectfully engage with teammates and the community

Prior canvassing experience is a plus but not required.
Pay: Expect hourly rate - $17-$25. We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

We are committed to equity, inclusion, and anti-racism. We are an equal opportunity employer and we strongly encourage Black, indigenous, people of color, women, people with previous felony convictions, members of the LGBTQIA+ community, and others who identify with underrepresented groups to apply.
"
6,Inbound Helpline Counselor for National Nonprofit,Gloucester north shore ,Sep 16,https://boston.craigslist.org/nos/npo/d/gloucester-inbound-helpline-counselor/7381248091.html,"
compensation: Starting pay: $15/hr with 20-days-worked review, 40-days-worked review (and possible raise) and annual reviews thereafter.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Tired of asking “Is that with fries?” Looking to use your brain rather than your brawn? Want a job where you can really make a difference in people’s lives?

If your answer is “Yes” then NeedyMeds may have the job you’ve been looking for.

NeedyMeds, a nationwide non-profit, is looking for compassionate and caring people to join our busy helpline staff who advise callers on how to find help with their medical costs. We will teach you how to help people navigate the thousands of programs we list and find assistance with medications and doctor costs.

This is a full-time job in our Gloucester office working with a great group of colleagues. We offer an excellent benefits package, some flexibility of hours, and will provide all the training. All employees must be vaccinated against COVID-19 or have an acceptable deferment.

Bilingual Spanish/English is a plus

Required skills are:
Excellent, current computer skills (Mac-based office)
Previous customer service or call center experience a plus
Friendly and professional phone decorum
Demonstrate courtesy, patience and understanding while handling calls from a wide demographic of people
Ability to successfully execute many complex tasks simultaneously
Comfort with working on databases
Comfort with repetitive tasks
Accuracy with information and data entry
Pleasant, positive demeanor
Ability to work as a team member, as well as independently
Reliable and dependable transportation
Excellent benefits

Starting pay is $15.00 per hour with raise after completing probation period.

Interested? The next step is to spend some on our website – www.needymeds.org. Then send a resume and cover letter.

Remember – spelling and punctuation are important.

"
7,Administrative Assistant,"Waltham, MA boston/cambridge/brookline ",Sep 16,https://boston.craigslist.org/gbs/npo/d/waltham-administrative-assistant/7381038627.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Support older adults by working in the Springwell Nutrition Department!
POSITION DESCRIPTION
Springwell is seeking a highly organized, professional individual to provide administrative support for the Nutrition Department. 
Responsibilities include:
Answering all incoming calls, screening calls, calling consumers back to provide answers to inquiries
Processing department voicemails and e-mails
Recording subjects in the appropriate database, and communicating with appropriate staff
Completing data entry 
Printing and mailing menus, donation statements, and consumer satisfaction surveys
Formatting and typing menus
Assisting with special projects
Providing coverage for department and agency, as needed
Our ideal candidate will be a team player with a positive attitude who is sensitive to the needs of older adults and individuals with disabilities. The ability to multi-task is essential to being successful in this position.
QUALIFICATIONS
Associate's or Bachelor's degree, preferred
2 years of administrative experience, preferred 
Proficiency with MS Office and database applications required
Excellent organizational skills with attention to detail
Excellent communication and customer service skills
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Massachusetts, Nutrition, Administrative Assistant, Administration, Assistant, Support, Support Staff, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1981121-143011 "
8,Staff Accountant,"Waltham, MA boston/cambridge/brookline ",Sep 16,https://boston.craigslist.org/gbs/npo/d/waltham-staff-accountant/7381036780.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Staff Accountant! The Staff Accountant will be an integral member of the Finance Team in a growing agency! 
POSITION DESCRIPTION
The Staff Accountant will perform a variety of functions related to record keeping, billing, data entry and accounts payable. The Accountant should be comfortable making and taking telephone calls from consumers and vendors around billing issues.
Our successful candidate will have a positive attitude, flexibility, and the ability to adapt to changing priories in a fast paced environment. 
QUALIFICATIONS
Bachelor's Degree in Accounting or General Ledger experience in lieu of a degree. 
Minimum of 1-3 years' accounting experience.
Strong organizational skills, attention to detail, and collaborative work style.
Working knowledge of Excel.
Reliable transportation required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.

Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Accounting, Accuracy, Analysis, Audits, Billing, Financial, Payroll, Reports, Accounts Payable, Accounts Receivable, MS Excel, General Ledger
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1981115-143011 "
9,Community Health Worker – Kenmore Square,"Boston, MA boston/cambridge/brookline ",Sep 16,https://boston.craigslist.org/gbs/npo/d/boston-community-health-worker-kenmore/7381035897.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dynamic, committed social services professional to work collaboratively with health providers to address the social needs of high risk pediatric and adult patients at a Harvard Vanguard Medical Associates site in Boston. Seeking a creative problem-solver who can assess, educate, and support families in accessing community resources to improve health and quality of life.
POSITION DESCRIPTION
The CHW works under contract with our health provider partners to provide community resource coordination for patients who have complex medical and social needs. As part of a team with Nurse Care Managers, physicians and social workers, the CHW receives referrals and seeks out solutions to non-medical problems which impact health, including assistance with financial and insurance issues, transportation, behavioral health, in-home services, legal assistance, etc. The CHW meets with patients in their home, in the medical office or at other community locations to engage them and connect them to their primary care practice.
QUALIFICATIONS
 Bachelor's Degree in Social Work or related Human Services Field.
Previous experience in human services field, preferably in a community services or medical setting.
Applicant must have a reliable car, current driver's license, and safe driving record.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
 
Keywords: Waltham, Braintree, Milton, Weymouth, Hingham, Randolph, Holbrook, Boston, Brookline, Dedham, Winthrop, Rockland, Chelsea, Canton, Cambridge, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Community Services, Medical, Community Health Worker, Health Care, Community Based Care
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1981113-143011 "
10,"Part-Time Floating Nutrition Assistant, $18/hour","Waltham, MA boston/cambridge/brookline ",Sep 16,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7381035061.html,"
compensation: $18.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $18.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1976856-143011 "
